대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고
,,,,,,,,,,,,,,YL-3,PX450-1 발렌무디 샌드,PX450-1 발렌무디 샌드,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX450-2 발렌무디 애쉬,PX450-2 발렌무디 애쉬,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX450-3 발렌무디 다크,PX450-3 발렌무디 다크,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX450-4 발렌무디 화이트,PX450-4 발렌무디 화이트,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX451 화이트스톤,PX451 화이트스톤,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX451-1 라이트스톤,PX451-1 라이트스톤,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX454 선셋스톤,PX454 선셋스톤,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX454-2 루카 화이트,PX454-2 루카 화이트,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-4,영림05,영림05,,0,,,,,,,770,,,,,,,,
,,,,,,,,,,,,,,YL-4,영림49,영림49,,0,,,,,,,770,,,,,,,,
,,,,,,,,,,,,,,YL-4,영림73(PWR1000),영림73(PWR1000),,0,,,,,,,770,,,,,,,,
,,,,,,,,,,,,,,YL-4,영림74(PWR1003),영림74(PWR1003),,0,,,,,,,770,,,,,,,,
,,,,,,,,,,,,,,YL-4,영림87(PWR1004),영림87(PWR1004),,0,,,,,,,770,,,,,,,,
,,,,,,,,,,,,,,YL-4,영림102,영림102,,0,,,,,,,770,,,,,,,,
,,,,,,,,,,,,,,YL-4,영림123(PW1005),영림123(PW1005),,0,,,,,,,770,,,,,,,,
,,,,,,,,,,,,,,YL-5,영림79 내추럴월넛(PWT1200),영림79 내추럴월넛(PWT1200),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림80 내추럴브라운(PWT1200-1),영림80 내추럴브라운(PWT1200-1),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림81 내추럴오렌지(PWT1200-2),영림81 내추럴오렌지(PWT1200-2),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림83 내추럴화이트(PWT1200-4),영림83 내추럴화이트(PWT1200-4),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림93 리치메이플(PWT1204),영림93 리치메이플(PWT1204),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림94 리치스칼렛(PWT1204-1),영림94 리치스칼렛(PWT1204-1),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림125 내추럴크림(PWT1200-5),영림125 내추럴크림(PWT1200-5),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림142(PWT1206),영림142(PWT1206),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림143(PWT1206-1),영림143(PWT1206-1),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림170(PWT1206-2),영림170(PWT1206-2),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림197 보니타(PWE1500),영림197 보니타(PWE1500),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림198(PWE1500-1),영림198 (PWE1500-1),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림199(PWE1500-2),영림199 (PWE1500-2),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림200 팔콘(PWE1501),영림200 팔콘(PWE1501),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림201(PWE1501-1),영림201 (PWE1501-1),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-5,영림202(PWE1501-2),영림202 (PWE1501-2),,0,,,,,,,"1,210",,,,,,,,
,,,,,,,,,,,,,,YL-6,PSM180,,,0,,,,,,,"1,980",,,,,,,,
,,,,,,,,,,,,,,YL-6,PSM181 소프트매트,,,0,,,,,,,"1,980",,,,,,,,
,,,,,,,,,,,,,,YL-6,PSM182 소프트매트,,,0,,,,,,,"1,980",,,,,,,,
,,,,,,,,,,,,,,YL-6,PSM183 소프트매트,,,0,,,,,,,"1,980",,,,,,,,
,,,,,,,,,,,,,,YL-6,PSM184 소프트매트,,,0,,,,,,,"1,980",,,,,,,,
