대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고,,,대대분류,대분류,중분류,소분류,브랜드,제품명
,,,,,,,,,,,,,,솔리드,HS045 쥬시옐로우,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS048 올리브그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS049 오렌지퍼시먼,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS050 바나나크림,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS051 스모키코리아,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HP505 위스퍼화이트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS053 코지화이트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HP505 청백페인트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PW-02 HP507 베이지페인트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PW-03 HP508 웜그레이페인트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PW-04 HP513 브라운페인트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PW-05 HP514 딥그레이페인트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PW-07 HP516 미드그레이페인트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PW-08 HP517 매트블랙페인트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PWH-01 HP518 화이트헤링본,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PWH-02 HP519 토피넛헤링본,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,PWH-03 HP520 미드블루헤링본,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP521 쁘레 회벽화이트,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP522 쁘레 회벽웜그레이,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP523 쁘레 회벽쿨그레이,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP524 쁘레 회벽코지브라운,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP525 쁘레 회벽로지,,,,,,,,,,770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,HP,HP526 쁘레 회벽크림콘,,,,,,,,,,770,,,,,,,,,,,,,,,,
